h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q210417,Gia Long,bornIn,Q36167,Huế,1762,,,16.456111111111,107.57638888889
Q1155848,Mộng Tuyết,bornIn,Q800154,Hà Tiên,1914,,,10.38333333,104.48333333
Q1320128,Đặng Hữu Phúc,bornIn,Q36610,Phú Thọ,1953,,,21.333333333333,105.16666666667
Q1073778,Phan Xích Long,bornIn,Q2405555,Chợ Lớn,1893,,,10.7514918,106.6604732
Q197941,Jane Lưu,bornIn,Q180573,Việt Nam Cộng hòa,1963,,,10.776944444444,106.69527777778
Q1033940,Mạc Mậu Hợp,bornIn,Q1858,Hà Nội,1560,,,21.0245,105.84117
Q1060315,Tôn Thất Thuyết,bornIn,Q36167,Huế,1839,,,16.456111111111,107.57638888889
Q1033935,Lê Thuần Tông,bornIn,Q1858,Hà Nội,1699,,,21.0245,105.84117
Q1156050,Trần Ích Tắc,bornIn,Q1858,Hà Nội,1254,,,21.0245,105.84117
Q704605,Phan Liêm,bornIn,Q2502014,Biên Hòa,1833,,,10.95,106.87388888889
Q704226,Trịnh Kiểm,bornIn,Q36175,Thanh Hóa,1503,,,19.8075,105.77638888889
Q1295622,Giuse Vũ Văn Thiên,bornIn,Q36729,Hải Dương,1960,,,20.916666666667,106.33333333333
Q1284591,Giuse Vũ Duy Thống,bornIn,Q36681,Thái Bình,1952,,,20.5,106.33333333333
Q182405,Emmanuel Lê Phong Thuận,bornIn,Q1927073,Chợ Mới,1930,,,10.479166666667,105.49166666667
Q178658,Lưu Huỳnh,bornIn,Q1854,Thành phố Hồ Chí Minh,2000,,,10.775555555556,106.70194444444
Q3089707,Frédéric Chau,bornIn,Q1854,Thành phố Hồ Chí Minh,1977,,,10.775555555556,106.70194444444
Q1063923,Bùi Thị Xuân,bornIn,Q1320837,Tây Sơn,1752,,,13.907494,108.922566
Q665382,Trần Trọng Kim,bornIn,Q7022325,Nghi Xuân,1883,,,18.625,105.76666666667
Q3339372,Ngô Viết Thụ,bornIn,Q36399,Huế,1927,,,16.463888888889,107.58666666667
Q1155848,Mộng Tuyết,bornIn,Q800154,Hà Tiên,1914,,,10.383055555556,104.4875
Q1155848,Mộng Tuyết,bornIn,Q800154,Hà Tiên,1914,,,10.383333,104.483333
Q700879,Mai Hắc Đế,bornIn,Q10789959,Mai Phụ,,,,18.423055555556,105.89
Q1033966,Lê Duy Phường,bornIn,Q1858,Hà Nội,1709,,,21.0245,105.84117
Q179910,Võ Nguyên Giáp,bornIn,Q3348089,Lộc Thủy,1911,,,17.2375,106.75361111111
Q35134,Thanh Hải Vô Thượng Sư,bornIn,Q33304,Quảng Ngãi,1950,,,15.0,108.66666666667
Q3370463,Đỗ Thị Ngân Thương,bornIn,Q1858,Hà Nội,1989,,,21.0245,105.84117
Q1159527,Đặng Thái Sơn,bornIn,Q1858,Hà Nội,1958,,,21.0245,105.84117
Q3138876,Nguyễn Hoàng Ngân,bornIn,Q1858,Hà Nội,1984,,,21.0245,105.84117
Q10793709,Midu,bornIn,Q1854,Thành phố Hồ Chí Minh,1989,,,10.775555555556,106.70194444444
Q700879,Mai Hắc Đế,bornIn,Q10789959,Mai Phụ,,,,18.42305556,105.8961111
Q1073424,Huy Cận,bornIn,Q1749724,Vũ Quang,1919,,,18.3375,105.45
Q1033947,Lê Chân Tông,bornIn,Q1858,Hà Nội,1630,,,21.0245,105.84117
Q562168,Trịnh Hữu Châu,bornIn,Q1854,Thành phố Hồ Chí Minh,1950,,,10.775555555556,106.70194444444
Q542508,Trịnh Thị Minh Hà,bornIn,Q1858,Hà Nội,1952,,,21.0245,105.84117
Q1134494,Dương Tam Kha,bornIn,Q881,Việt Nam,901,,,16.0,108.0
